




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Totals:                       34108                         5016                          864                           4758                          0                             10638                         4650                          1108                          3461                          0                             9219                          19857                         

                                                                                                                                                  State Representative, District 152
                                                            ED RYNDERS (I) (REP)                                                                                                                                  MARCUS BATTEN  (DEM)                                                                                                                                  
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Lee                           21012                         5499                          242                           4147                          0                             9888                          1765                          230                           1427                          0                             3422                          13310                         
Sumter                        2206                          449                           34                            382                           0                             865                           260                           98                            211                           0                             569                           1434                          
Worth                         12645                         3400                          146                           2264                          0                             5810                          899                           150                           767                           0                             1816                          7626                          
Totals:                       35863                         9348                          422                           6793                          0                             16563                         2924                          478                           2405                          0                             5807                          22370                         

                                                                                                                                                  State Representative, District 153
                                                            TRACY TAYLOR  (REP)                                                                                                                                   CAMIA WHITAKER HOPSON  (DEM)                                                                                                                          
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Dougherty                     31611                         3598                          204                           1730                          0                             5532                          5823                          740                           3903                          0                             10466                         15998                         
Totals:                       31611                         3598                          204                           1730                          0                             5532                          5823                          740                           3903                          0                             10466                         15998                         

                                                                       State Representative, District 154
                                                            WINFRED DUKES (I) (DEM)                                                                                                                               
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Baker                         2232                          436                           95                            319                           2                             852                           852                           
Dougherty                     24414                         5916                          715                           4035                          0                             10666                         10666                         
Miller                        3814                          669                           80                            491                           0                             1240                          1240                          
Seminole                      5341                          1192                          178                           668                           0                             2038                          2038                          
Totals:                       35801                         8213                          1068                          5513                          2                             14796                         14796                         

                                                                       State Representative, District 155
                                                            CLAY PIRKLE (I) (REP)                                                                                                                                 
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Ben Hill                      9258                          1220                          177                           2870                          0                             4267                          4267                          
Coffee                        3974                          742                           31                            764                           0                             1537                          1537                          
Irwin                         5277                          1142                          94                            1722                          0                             2958                          2958                          
Tift                          10277                         1662                          122                           2680                          0                             4464                          4464                          
Turner                        5126                          884                           94                            1597                          0                             2575                          2575                          
Totals:                       33912                         5650                          518                           9633                          0                             15801                         15801                         

                                                                       State Representative, District 156
                                                            GREG MORRIS (I) (REP)                                                                                                                                 
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Appling                       8413                          1812                          303                           2030                          0                             4145                          4145                          
Jeff Davis                    1801                          440                           35                            689                           0                             1164                          1164                          
Montgomery                    5145                          1585                          152                           1193                          0                             2930                          2930                          
Toombs                        15700                         2730                          379                           4067                          0                             7176                          7176                          
Totals:                       31059                         6567                          869                           7979                          0                             15415                         15415                         

                                                                       State Representative, District 157
                                                            WILLIAM "BILL" WERKHEISER (I) (REP)                                                                                                                   
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Evans                         5569                          851                           140                           1753                          0                             2744                          2744                          
Tattnall                      11036                         2253                          286                           2894                          0                             5433                          5433                          
Wayne                         11006                         1491                          213                           2981                          0                             4685                          4685                          
Totals:                       27611                         4595                          639                           7628                          0                             12862                         12862                         

                                                                       State Representative, District 158
                                                            BUTCH PARRISH (I) (REP)                                                                                                                               
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Bulloch                       8095                          1417                          152                           1644                          0                             3213                          3213                          
Candler                       5572                          904                           85                            2032                          1                             3022                          3022                          
Emanuel                       12343                         3088                          283                           2883                          0                             6254                          6254                          
Jenkins                       4677                          824                           104                           1217                          15                            2160                          2160                          
Totals:                       30687                         6233                          624                           7776                          16                            14649                         14649                         

                                                                       State Representative, District 159
                                                            JON G. BURNS (I) (REP)                                                                                                                                
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Bulloch                       9751                          1982                          208                           2153                          0                             4343                          4343                          
Effingham                     16873                         3909                          206                           4424                          0                             8539                          8539                          
Screven                       8594                          1798                          156                           2072                          0                             4026                          4026                          
Totals:                       35218                         7689                          570                           8649                          0                             16908                         16908                         

                                                                       State Representative, District 160
                                                            JAN TANKERSLEY (I) (REP)                                                                                                                              
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Bryan                         6762                          1750                          61                            1330                          0                             3141                          3141                          
Bulloch                       30718                         5995                          398                           4790                          0                             11183                         11183                         
Totals:                       37480                         7745                          459                           6120                          0                             14324                         14324                         

                                                                                                                                                  State Representative, District 161
                                                            BILL HITCHENS (I) (REP)                                                                                                                               ADAM BRIDGES  (DEM)                                                                                                                                   
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Chatham                       22369                         3628                          170                           1397                          0                             5195                          3362                          402                           2098                          0                             5862                          11057                         
Effingham                     22923                         5627                          263                           4481                          0                             10371                         1699                          198                           1200                          0                             3097                          13468                         
Totals:                       45292                         9255                          433                           5878                          0                             15566                         5061                          600                           3298                          0                             8959                          24525                         

                                                                       State Representative, District 162
                                                            CARL WAYNE GILLIARD (I) (DEM)                                                                                                                         
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Chatham                       33898                         8141                          1018                          4192                          0                             13351                         13351                         
Totals:                       33898                         8141                          1018                          4192                          0                             13351                         13351                         

                                                                       State Representative, District 163
                                                            J. CRAIG GORDON (I) (DEM)                                                                                                                             
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Chatham                       33798                         9196                          1174                          4543                          0                             14913                         14913                         
Totals:                       33798                         9196                          1174                          4543                          0                             14913                         14913                         

                                                                                                                                                  State Representative, District 164
                                                            RON STEPHENS (I) (REP)                                                                                                                                ALICIA "AER" SCOTT  (DEM)                                                                                                                             
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Bryan                         15177                         1585                          107                           2365                          0                             4057                          794                           193                           1102                          0                             2089                          6146                          
Chatham                       22979                         3519                          186                           1452                          0                             5157                          3179                          416                           2564                          0                             6159                          11316                         
Liberty                       1992                          38                            5                             20                            0                             63                            114                           5                             37                            0                             156                           219                           
Totals:                       40148                         5142                          298                           3837                          0                             9277                          4087                          614                           3703                          0                             8404                          17681                         

                                                                       State Representative, District 165
                                                            MICKEY STEPHENS (I) (DEM)                                                                                                                             
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Chatham                       43834                         10130                         990                           5219                          0                             16339                         16339                         
Totals:                       43834                         10130                         990                           5219                          0                             16339                         16339                         

                                                                       State Representative, District 166
                                                            JESSE PETREA (I) (REP)                                                                                                                                
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Bryan                         12324                         1394                          117                           2736                          0                             4247                          4247                          
Chatham                       41195                         13833                         753                           5404                          0                             19990                         19990                         
Totals:                       53519                         15227                         870                           8140                          0                             24237                         24237                         

                                                                                                                                                  State Representative, District 167
                                                            JEFF JONES (I) (REP)                                                                                                                                  CEDRIC Z. KING  (DEM)                                                                                                                                 
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Glynn                         18077                         3495                          294                           4139                          0                             7928                          1121                          204                           1530                          0                             2855                          10783                         
Long                          7606                          1232                          45                            1266                          0                             2543                          560                           119                           657                           0                             1336                          3879                          
McIntosh                      8962                          1146                          176                           1774                          0                             3096                          831                           258                           1139                          0                             2228                          5324                          
Totals:                       34645                         5873                          515                           7179                          0                             13567                         2512                          581                           3326                          0                             6419                          19986                         

                                                                       State Representative, District 168
                                                            AL WILLIAMS (I) (DEM)                                                                                                                                 
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Liberty                       29059                         4638                          804                           6496                          0                             11938                         11938                         
Totals:                       29059                         4638                          804                           6496                          0                             11938                         11938                         

                                                                       State Representative, District 169
                                                            DOMINIC LARICCIA (I) (REP)                                                                                                                            
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Bacon                         6010                          649                           140                           2540                          0                             3329                          3329                          
Coffee                        20068                         2587                          206                           4588                          0                             7381                          7381                          
Jeff Davis                    3304                          653                           65                            831                           0                             1549                          1549                          
Totals:                       29382                         3889                          411                           7959                          0                             12259                         12259                         

                                                                       State Representative, District 170
                                                            PENNY HOUSTON (I) (REP)                                                                                                                               
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Berrien                       10247                         2523                          276                           2907                          0                             5706                          5706                          
Cook                          9423                          2045                          167                           2672                          0                             4884                          4884                          
Tift                          14808                         1422                          147                           2502                          0                             4071                          4071                          
Totals:                       34478                         5990                          590                           8081                          0                             14661                         14661                         

                                                                       State Representative, District 171
                                                            JAY POWELL (I) (REP)                                                                                                                                  
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Colquitt                      5617                          1884                          89                            1419                          0                             3392                          3392                          
Decatur                       11458                         1959                          201                           2390                          0                             4550                          4550                          
Mitchell                      13324                         2800                          363                           2611                          0                             5774                          5774                          
Totals:                       30399                         6643                          653                           6420                          0                             13716                         13716                         

                                                                       State Representative, District 172
                                                            SAM WATSON (I) (REP)                                                                                                                                  
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Colquitt                      16331                         3454                          253                           3686                          0                             7393                          7393                          
Thomas                        4352                          1420                          58                            739                           0                             2217                          2217                          
Tift                          7517                          1193                          89                            1149                          0                             2431                          2431                          
Totals:                       28200                         6067                          400                           5574                          0                             12041                         12041                         

                                                                                                                                                  State Representative, District 173
                                                            DARLENE TAYLOR (I) (REP)                                                                                                                              TWITTY TITUS  (DEM)                                                                                                                                   
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Decatur                       8862                          958                           72                            778                           0                             1808                          567                           126                           341                           0                             1034                          2842                          
Grady                         13546                         2863                          180                           2598                          0                             5641                          1176                          216                           1204                          0                             2596                          8237                          
Thomas                        13375                         1659                          194                           2279                          0                             4132                          1487                          368                           1908                          0                             3763                          7895                          
Totals:                       35783                         5480                          446                           5655                          0                             11581                         3230                          710                           3453                          0                             7393                          18974                         

                                                                       State Representative, District 174
                                                            JOHN CORBETT (I) (REP)                                                                                                                                
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Camden                        5271                          1099                          88                            870                           0                             2057                          2057                          
Charlton                      5537                          1165                          112                           1146                          7                             2430                          2430                          
Clinch                        3884                          736                           62                            1062                          0                             1860                          1860                          
Echols                        1929                          314                           28                            715                           0                             1057                          1057                          
Lowndes                       20281                         2534                          173                           2396                          0                             5103                          5103                          
Ware                          6269                          610                           71                            490                           0                             1171                          1171                          
Totals:                       43171                         6458                          534                           6679                          7                             13678                         13678                         

                                                                                                                                                  State Representative, District 175
                                                            JOHN LAHOOD (I) (REP)                                                                                                                                 TREVA GEAR (DEM)                                                                                                                                      
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Brooks                        9911                          1819                          118                           1617                          0                             3554                          931                           332                           766                           0                             2029                          5583                          
Lowndes                       55089                         1935                          192                           5343                          0                             7470                          608                           161                           1500                          0                             2269                          9739                          
Thomas                        13338                         2098                          155                           2276                          0                             4529                          785                           166                           893                           0                             1844                          6373                          
Totals:                       78338                         5852                          465                           9236                          0                             15553                         2324                          659                           3159                          0                             6142                          21695                         

                                                                       State Representative, District 176
                                                            JASON SHAW (I) (REP)                                                                                                                                  
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Atkinson                      4252                          896                           60                            1047                          0                             2003                          2003                          
Lanier                        5034                          742                           81                            1441                          0                             2264                          2264                          
Lowndes                       43279                         1855                          163                           2899                          0                             4917                          4917                          
Ware                          13196                         2262                          237                           2057                          0                             4556                          4556                          
Totals:                       65761                         5755                          541                           7444                          0                             13740                         13740                         

                                                                       State Representative, District 177
                                                            DEXTER L. SHARPER (I) (DEM)                                                                                                                           
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Lowndes                       53813                         3647                          769                           6168                          0                             10584                         10584                         
Totals:                       53813                         3647                          769                           6168                          0                             10584                         10584                         
